index,type,task,subcategory,prompt
item28,unconstrained,fiction,monologue,Create a fictional diary entry from the perspective of a historical figure during a significant event.
item29,unconstrained,non-fiction,description,"Create a description of a futuristic city, highlighting its architecture, technology, and social structure."
item30,unconstrained,non-fiction,description,"Describe an enchanting and magical world, rich with unique flora and fauna."
item31,unconstrained,non-fiction,description,Create a detailed and atmospheric description of a haunted mansion.
item32,unconstrained,fiction,story,Write a short story about a character who discovers a hidden talent.
item33,unconstrained,fiction,story,"Write a synopsys inspired by the themes of a classic novel, without directly copying the plot or characters."
item34,constrained,summarization,,"Summarize the following text:\n\nDifferent types of climbing warrant particular features for harnesses. Sport climbers typically use minimalistic harnesses, some with sewn-on gear loops. Alpine climbers often choose lightweight harnesses, perhaps with detachable leg loops. Big Wall climbers generally prefer padded waist belts and leg loops. There are also full body harnesses for children, whose pelvises may be too narrow to support a standard harness safely. These harnesses prevent children from falling even when inverted, and are either manufactured for children or constructed out of webbing. Some climbers use full body harnesses when there is a chance of inverting, or when carrying a heavy bag. There are also chest harnesses, which are used only in combination with a sit harness. Test results from UIAA show that chest harnesses do not put more impact on the neck than sit harnesses, giving them the same advantages as full body harness.\nApart from these harnesses, there are also caving and canyoning harnesses, which all serve different purposes. For example, a caving harness is made of tough waterproof and unpadded material, with dual attachment points. Releasing the maillon from these attachment points loosens the harness quickly.\nCanyoning harnesses are somewhat like climbing harnesses, often without the padding, but with a seat protector, making it more comfortable to rappel. These usually have a single attachment point of Dyneema."
item35,constrained,summarization,,"Summarize the following text:\n\nLinkedIn is a business and employment-focused social media platform that works through websites and mobile apps. It launched on May 5, 2003. It is now owned by Microsoft. The platform is primarily used for professional networking and career development, and allows jobseekers to post their CVs and employers to post jobs. From 2015 most of the company's revenue came from selling access to information about its members to recruiters and sales professionals. Since December 2016, it has been a wholly owned subsidiary of Microsoft. As of March 2023, LinkedIn has more than 900 million registered members from over 200 countries and territories.\nLinkedIn allows members (both workers and employers) to create profiles and connect with each other in an online social network which may represent real-world professional relationships. Members can invite anyone (whether an existing member or not) to become a connection. LinkedIn can also be used to organize offline events, join groups, write articles, publish job postings, post photos and videos, and more."
item36,constrained,summarization,,"Summarize the following text:\n\nThe division of labour is the separation of the tasks in any economic system or organization so that participants may specialize (specialization). Individuals, organizations, and nations are endowed with or acquire specialized capabilities, and either form combinations or trade to take advantage of the capabilities of others in addition to their own. Specialized capabilities may include equipment or natural resources as well as skills. Training and combinations of equipment and other assets acting together are often important. For example, an individual may specialize by acquiring tools and the skills to use them effectively just as an organization may specialize by acquiring specialized equipment and hiring or training skilled operators. The division of labour is the motive for trade and the source of economic interdependence.\nHistorically, an increasing division of labour is associated with the growth of total output and trade, the rise of capitalism, and the increasing complexity of industrialized processes. The concept and implementation of division of labour has been observed in ancient Sumerian (Mesopotamian) culture, where assignment of jobs in some cities coincided with an increase in trade and economic interdependence. Division of labour generally also increases both producer and individual worker productivity.\nAfter the Neolithic Revolution, pastoralism and agriculture led to more reliable and abundant food supplies, which increased the population and led to specialization of labour, including new classes of artisans, warriors, and the development of elites. This specialization was furthered by the process of industrialization, and Industrial Revolution-era factories. Accordingly, many classical economists as well as some mechanical engineers, such as Charles Babbage, were proponents of division of labour. Also, having workers perform single or limited tasks eliminated the long training period required to train craftsmen, who were replaced with less-paid but more productive unskilled workers."
item37,constrained,summarization,,"Summarize the following text:\n\nThe Needle is a fictional character, a mutant supervillain appearing in American comic books published by Marvel Comics. Created by Mark Gruenwald, Carmine Infantino, and Al Gordon, the character first appeared in Spider-Woman #9 (December 1978). Creator Mark Gruenwald brought the character back during his run on the West Coast Avengers as a member of the villain team Night Shift, which included other former Spider-Woman foes.\nAfter being mugged one night while leaving work, Josef Saint, an elderly tailor, lost an eye and his ability to speak. While recuperating, he discovered that he has the power to paralyze with his gaze. Seeking revenge, Saint assumed the guise of the vigilante the Needle. Armed with a yard-long needle, the mute villain attacked young men on the streets at night, sewing their mouths shut. After victimizing S.H.I.E.L.D. agent Jerry Hunt, the Needle incurred the wrath of Spider-Woman, the agent's girlfriend, and she took him out with a close-range venom blast. He was subsequently arrested.\nWith other superhuman adventurers and criminals, the Needle was imprisoned by the Locksmith, but then freed by Spider-Woman.\nThe Needle joined the Night Shift, and teamed with Captain America against the Power Broker and his augmented mutates. Alongside the Night Shift, he tested Moon Knight to take over as the leader of the Night Shift. Later, alongside the Night Shift, he battled the West Coast Avengers. Alongside the Night Shift, the second Hangman, and Satannish, he battled the Avengers West Coast; his abilities had been enhanced by Satannish's black magic.\nThe Needle was later defeated by Armory.\nNeedle appears with the Night Shift, as part of the Hood's gang. They battle the Midnight Sons, and Needle impales Daimon Hellstrom with his needle, before Jennifer Kale knocks him off with a spell. He and the Night Shift are killed when the zombie virus mutates and becomes airborne. The virus cloud begins to rain blood, and reanimates the Night Shift as zombies. Dormammu assumes control of the Night Shift and uses them to fight the Midnight Sons. When Jennifer Kale and the Black Talon contain the virus within the Zombie (Simon Garth), the Night Shift members are apparently restored to normal, and the Hood teleports away with them."
item38,constrained,summarization,,"Summarize the following text:\n\nChicken owners need to find a place to purchase chickens. Oftentimes, people purchase chickens at local feed stores, or through a hatchery.\nCreating a brooder - Chickens not being raised by a mother hen need assistance from their owner to survive. Chickens are raised in a brooder, which can look like a variety of things. Many individuals create their own brooder out of cardboard, plastic or wood. Different sources identify a variety of different square feet per bird needed, but a rule of thumb can be two square feet per chicken. This number can be lowered when the chick is young, but as they grow they will need at least two square feet per bird. It is important that chicken owners place their brooder in a draft-free place, yet still allow holes in the brooder for ventilation.\nHeating and bedding - Chicks require a warm environment. In a brooder, this warm environment is created artificially with a heat lamp. My Pet Chicken recommends a red heat lamp, because a white heat lamp can create a harsh and uncomfortable environment for the baby chicks. During the first week of the chicks' life, a temperature of 95 degrees Fahrenheit is required. The temperature can be decreased by 5 degrees F. each week of the chicks life, until they reach week 6. At week 6, the birds should have enough feathers grown to be moved into their chicken coop. Checking on chicks often is important, as chicks that are too cold will huddle together to attempt to retain warmth, and chicks that are too hot will spread out in the brooder in attempts to cool down. Temperature can be adjusted accordingly by lowering and raising the heat lamp in the chick's brooder. Temperature can also be monitored by the use of a thermometer. Wooden chips are often used in the bottom of the brooder as a bedding.\nFood and water - Chicks require different food than adult chickens. Chicks need a mash or dust food so that they are able to digest it without grit. Adult chickens are able to digest grit, which allows them to eat bigger food pellets. Purchasing chick food from a local feed store that is specifically for baby chicks will ensure that all nutritional requirements are being met. There are different types of food for different types of chicks. Chicks that are grown for egg-laying purposes require a lower protein level than chicks that are grown as a source of meat. Chicks should be fed and given water out of containers that ensure the chicks' safety, as some containers can injure the chicks or cause easy drowning."
item39,constrained,summarization,,"Summarize the following text:\n\nThe preconditioning for the financial crisis were complex and multi-causal. Almost two decades prior, the U.S. Congress had passed legislation encouraging financing for affordable housing. However, in 1999, parts of the Glass-Steagall legislation, which had been adopted in 1933, were repealed, permitting financial institutions to commingle their commercial (risk-averse) and proprietary trading (risk-taking) operations. Arguably the largest contributor to the conditions necessary for financial collapse was the rapid development in predatory financial products which targeted low-income, low-information homebuyers who largely belonged to racial minorities. This market development went unattended by regulators and thus caught the U.S. government by surprise."
item40,constrained,summarization,,"Summarize the following text:\n\nA rainbow is an optical phenomenon that can occur under certain meteorological conditions. It is caused by reflection, refraction and dispersion of light in water droplets resulting in an effect similar to a spectrum of light appearing in the sky. It takes the form of a multicoloured circular arc. Rainbows caused by sunlight always appear in the section of sky directly opposite the Sun.\nRainbows can be full circles. However, the observer normally sees only an arc formed by illuminated droplets above the ground, and centered on a line from the Sun to the observer's eye.\nIn a primary rainbow, the arc shows red on the outer part and violet on the inner side. This rainbow is caused by light being refracted when entering a droplet of water, then reflected inside on the back of the droplet and refracted again when leaving it.\nIn a double rainbow, a second arc is seen outside the primary arc, and has the order of its colours reversed, with red on the inner side of the arc. This is caused by the light being reflected twice on the inside of the droplet before leaving it."
item41,constrained,summarization,,"Summarize the following text:\n\nThe Byzantine Empire, also referred to as the Eastern Roman Empire or Byzantium, was the continuation of the Roman Empire primarily in its eastern provinces during Late Antiquity and the Middle Ages, when its capital city was Constantinople. It survived the fragmentation and fall of the Western Roman Empire in the 5th century AD and continued to exist for an additional thousand years until the fall of Constantinople to the Ottoman Empire in 1453. During most of its existence, the empire remained the most powerful economic, cultural, and military force in Europe. The terms ""Byzantine Empire"" and ""Eastern Roman Empire"" were coined after the end of the realm; its citizens continued to refer to their empire as the Roman Empire and to themselves as Romans[note 2]—a term which Greeks continued to use for themselves into Ottoman times. Although the Roman state continued and its traditions were maintained, modern historians prefer to differentiate the Byzantine Empire from Ancient Rome as it was centered on Constantinople instead of Rome, oriented towards Greek rather than Latin culture, and was characterized by Eastern Orthodox Christianity."
item42,constrained,summarization,,"Summarize the following text:\n\nWorld War II or the Second World War, often abbreviated as WWII or WW2, was a global conflict that lasted from 1939 to 1945. The vast majority of the world\'s countries, including all of the great powers, fought as part of two opposing military alliances: the Allies and the Axis. Many participants threw their economic, industrial, and scientific capabilities behind this total war, blurring the distinction between civilian and military resources. Aircraft played a major role, enabling the strategic bombing of population centres and the delivery of the only two nuclear weapons ever used in war.\nWorld War II was by far the deadliest conflict in history; it resulted in an estimated 70 to 85 million fatalities, mostly among civilians. Tens of millions died due to genocides (including the Holocaust), starvation, massacres, and disease. In the wake of the Axis defeat, Germany and Japan were occupied, and war crimes tribunals were conducted against German and Japanese leaders.\nThe causes of World War II are debated, but contributing factors included the Second Italo-Ethiopian War, Spanish Civil War, Second Sino-Japanese War, Soviet–Japanese border conflicts, the rise of fascism in Europe, and European tensions in the aftermath of World War I. World War II is generally considered to have begun on 1 September 1939, when Nazi Germany, under Adolf Hitler, invaded Poland. The United Kingdom and France subsequently declared war on Germany on 3 September. Under the Molotov–Ribbentrop Pact of August 1939, Germany and the Soviet Union had partitioned Poland and marked out their ""spheres of influence"" across Finland, Estonia, Latvia, Lithuania and Romania. From late 1939 to early 1941, in a series of campaigns and treaties, Germany conquered or controlled much of continental Europe, in a military alliance with Italy, Japan and other countries called the Axis."
item43,constrained,summarization,,"Summarize the following text:\n\nThe Manhattan Project was a research and development undertaking during World War II that produced the first nuclear weapons. It was led by the United States with the support of the United Kingdom and Canada. From 1942 to 1946, the project was under the direction of Major General Leslie Groves of the U.S. Army Corps of Engineers. Nuclear physicist Robert Oppenheimer was the director of the Los Alamos Laboratory that designed the actual bombs. The Army component of the project was designated the Manhattan District as its first headquarters were in Manhattan; the placename gradually superseded the official codename, Development of Substitute Materials, for the entire project. Along the way, the project absorbed its earlier British counterpart, Tube Alloys. The Manhattan Project began modestly in 1939, but grew to employ nearly 130,000 people at its peak and cost nearly US$2 billion (equivalent to about $24 billion in 2021). Over 90 percent of the cost was for building factories and to produce fissile material, with less than 10 percent for development and production of the weapons. Research and production took place at more than thirty sites across the United States, the United Kingdom, and Canada.\nThe project led to the development of two types of atomic bombs, both developed concurrently, during the war: a relatively simple gun-type fission weapon and a more complex implosion-type nuclear weapon. The Thin Man gun-type design proved impractical to use with plutonium, so a simpler gun-type design called Little Boy was developed that used uranium-235, an isotope that makes up only 0.7 percent of natural uranium. Because it is chemically identical to the most common isotope, uranium-238, and has almost the same mass, separating the two proved difficult. Three methods were employed for uranium enrichment: electromagnetic, gaseous and thermal. Most of this work was carried out at the Clinton Engineer Works at Oak Ridge, Tennessee.\n\nIn parallel with the work on uranium was an effort to produce plutonium, which researchers at the University of California, Berkeley, discovered in 1940. After the feasibility of the world's first artificial nuclear reactor, the Chicago Pile-1, was demonstrated in 1942 at the Metallurgical Laboratory in the University of Chicago, the project designed the X-10 Graphite Reactor at Oak Ridge and the production reactors at the Hanford Site in Washington state, in which uranium was irradiated and transmuted into plutonium. The plutonium was then chemically separated from the uranium, using the bismuth phosphate process. The Fat Man plutonium implosion-type weapon was developed in a concerted design and development effort by the Los Alamos Laboratory.\nThe project was also charged with gathering intelligence on the German nuclear weapon project. Through Operation Alsos, Manhattan Project personnel served in Europe, sometimes behind enemy lines, where they gathered nuclear materials and documents, and rounded up German scientists. Despite the Manhattan Project's tight security, Soviet atomic spies successfully penetrated the program."
item44,constrained,summarization,,"Summarize the following text:\n\nToday, Finland became the 31st member of NATO, ending its decades-long policy of neutrality. Foreign minister Pekka Haavisto handed over the official documents in Brussels to United States Secretary of State Antony Blinken.\nProtestors at a February 2022 rally against Russia\'s invasion of Ukraine march past the statue of Tsar Alexander II in Senate Square in Helsinki.\nImage: rajatonvimma.\nMap of NATO members including Finland\nThe accession was marked by raising the Finnish flag at NATO\'s main office in Brussels, Belgium, while the NATO flag was raised in Helsinki.\nFinland shares a 1,340 kilometers (833 mi)-long border with Russia. By joining NATO, it roughly doubled the length of NATO borders with Russia.\n""Until now, we have defended our country alone,"" said Defense Minister Antti Kaikkonen. ""From now on, we can rely on getting outside help should things get tough. And of course, we are ready to help should someone be in trouble.""\nKremlin representative Dmitry Peskov said it was an ""encroachment on our security and on Russia\'s national interests"". He said Russia would closely monitor NATO activity in Finland and take ""counter-measures"".\n""Finland\'s membership is not targeted against anyone. Nor does it change the foundations or objectives of Finland\'s foreign and security policy,"" read a statement by Finnish President Sauli Niinistö after the accession documents were transferred.\n""President Putin had as a declared goal of the invasion of Ukraine to get less NATO. He is getting exactly the opposite,"" said NATO Secretary General Jens Stoltenberg. ""Finland today, and soon also Sweden will become a full-fledged member of the alliance"".\nIn the wake of Russia\'s invasion of Ukraine last year, public sentiment in Finland and Sweden, which were both non-aligned countries, shifted drastically, to 80% support in the former\'s case. On May 18, both nations submitted applications to join NATO. New members must have the support of all existing members before they can join.\nThe applications were held up by Turkey under Recep Tayyip Erdoğan, because Finland and Sweden have granted political asylum to members of the Kurdistan Workers\' Party, which Turkey views as a terrorist organization. Last week, the Grand National Assembly of Turkey voted to approve Finland.\nSweden still has to obtain the approval of both Hungary and Turkey before it can join. Hungary objects to Sweden based on its criticism of Viktor Orbán\'s government. A far-right group in Sweden held a Quran-burning in front of the Turkish embassy in January, which was condemned by the Turkish government.\nAfter Russia won the Finnish War over Sweden in 1809, Finland became a Grand Duchy of the tsarist Russian Empire. This lasted until the Russian Civil War started in 1917 and Finland declared its independence.\nIn 1939, the Soviet Union invaded Finland in a conflict called the Winter War. It ended with a treaty in 1940, under which Finland ceded territory to the Soviets. When Germany invaded the Soviet Union in 1941 during World War II, Finland entered the war on the side of Germany. It ended with an armistice in 1944, and Finland relinquished another province."
item45,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nThe New York City Ballet Board of Directors appoints an interim team to oversee the artistic aspects of the company during ballet master in chief Peter Martins' leave of absence amid an internal investigation into sexual harassment accusations."
item46,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nSyrian refugees in Istanbul, Turkey, face challenges in integration as xenophobia rises, with many working off the books due to slow implementation of official employment programs and fears of wage competition, while political and cultural differences hinder the regularization process despite government efforts to grant work permits and equal benefits."
item47,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nThe Trump administration extends the deadline for insurance companies to decide on Affordable Care Act plans, amid uncertainty over President Trump's commitment to cost-sharing reduction payments, as insurers face potential discontinuation of reimbursements for required discounts to low-income customers."
item48,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nArkansas faces legal obstacles in executing eight inmates over 11 days due to drug expiration, with state and federal judges blocking the process citing concerns over drug acquisition and the risk of suffering during midazolam-based executions; the state appeals, seeking a quick resolution."
item49,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nU.S. citizen and aspiring astronaut, 16-year-old Murad Rahimov from Uzbekistan, fulfills his dream with a NASA tour; guided by astrophysicist Jeremy Schnittman, he engages with scientists at the Goddard Space Flight Center, taking a step closer to his passion for space exploration."
item50,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nGirindra Jha, born in a remote Indian village, defies the trend of rural youth migration to cities, returning after earning degrees in New Delhi to inspire others to stay and revitalize agriculture; combining farming with his journalism career, he hosts the ""Chanka Residency"" for writers."
item51,constrained,words_given,,"Write a text that uses all of the following words:\n\naltruism, selflessness, Auguste Comte, reciprocity, biological observations."
item52,constrained,words_given,,"Write a text that uses all of the following words:\n\nAlfred Bernhard Nobel, Swedish chemist, inventor, Nobel Prize, dynamite invention"
item53,constrained,words_given,,"Write a text that uses all of the following words:\n\ninitial public offering, IPO, investment banks, free float, prospectus"
item54,constrained,words_given,,"Write a text that uses all of the following words:\n\nbootleg mining, shoemaker mining, illegal coal mining, Great Depression"
item55,constrained,words_given,,"Write a text that uses all of the following words:\n\nconsumer economy, GDP, United States, consumer revolution"
item56,constrained,words_given,,"Write a text that uses all of the following words:\n\ncontemplation, divine awareness, prayer, meditation, etymology"
item57,unconstrained,non-fiction,argument,Write a short paragraph to help convince someone to purchase an espresso machine.
item58,unconstrained,non-fiction,argument,Write about a sport which is always interesting and can be enjoyed alone or with people.
item59,unconstrained,non-fiction,argument,Write about whether or not competition is healthy.
item60,unconstrained,non-fiction,argument,"What is the concept of a good life, according to Socrates?"
item61,unconstrained,non-fiction,argument,How can we prevent the extinction of the human species?
item62,unconstrained,non-fiction,description,"You stumble upon a new animal, one the world has never seen. What is it and how did you come up with it's name?"
item63,unconstrained,non-fiction,description,Describe the feeling of being in the eye of a tornado.
item64,unconstrained,non-fiction,argument,Does platonic love hurt?
item65,unconstrained,non-fiction,argument,What trait do you think everyone should have?
item66,unconstrained,fiction,dialogue,Create a dialogue between two characters discussing the impact of social media on their lives
item67,unconstrained,non-fiction,argument,Discuss what is more important in our society: freedom or safety.
item68,unconstrained,non-fiction,argument,"Discuss the possible use cases of AI in government, as well as possible dangers."
item69,unconstrained,non-fiction,argument,Discuss which economic and societal changes would have to happen for the Industrial Revolution to happen in reverse.
item70,unconstrained,non-fiction,argument,Discuss the positive and negative aspects of Genetically Modified Organisms (GMOs).
item71,unconstrained,non-fiction,description,"In a hypothetical scenario, the Earth has become unable to sustain human life. Provide a general description of the measures that have to be undertaken for mankind to live on Mars."
item72,unconstrained,non-fiction,description,"Imagine the possibility that humans could get infected with funghi. Describe the sequence of symptoms a person experiences, from infection to death."
item73,unconstrained,non-fiction,description,Describe what one might feel when looking at Picasso's works.
item74,unconstrained,non-fiction,description,"In a hypothetical scenario, the world has experienced a nuclear war. Provide a general description of what the last remaining cities might look like and how they might function."
item75,unconstrained,fiction,story,Write a short story about a young boy who has a hidden superpower and who one day saves a classmate from harm.
item76,unconstrained,fiction,story,Write a short story about a young astronomer who stumbles upon a series of mysterious messages encoded in the night sky.
item77,unconstrained,fiction,story,"Write a short story about an unsuccessful, middle-aged writer who receives a special pen that brings fictional characters to life."
item78,unconstrained,fiction,dialogue,"Imagine a world where animals can speak. Create a dialogue between a dog and its owner, and the topic is the dog's unhappiness with its keeping."
item79,unconstrained,fiction,dialogue,Create a dialogue between two ex-lovers who meet again after one year apart and realise that the man's mother secretly caused their separation.
item80,unconstrained,fiction,dialogue,"Create a dialogue between a piano teacher and a student, where the piano teacher tries to convince his student that Mozart is not as shallow as the student believes."
item81,unconstrained,poetry,poem,"Write a poem in the style of Allen Ginsberg, with maximally eight lines."
item82,unconstrained,poetry,poem,"Write a poem in the style of Emily Dickinson, with maximally eight lines."
item83,unconstrained,poetry,poem,"Write a poem in the style of William Blake, with maximally eight lines."
item84,constrained,summarization,,"Summarize the following text:\n\nRowing is a low-impact sport with movement only in defined ranges, so that twist and sprain injuries are rare. However, the repetitive rowing action can put strain on knee joints, the spine and the tendons of the forearm, and inflammation of these are the most common rowing injuries. If one rows with poor technique, especially rowing with a curved rather than straight back, other injuries may surface, including back pains and wrist injuries. Blisters occur for almost all rowers, especially in the beginning of one's rowing career, as every stroke puts pressure on the hands, though rowing frequently tends to harden hands and generate protective calluses. Holding the oars too tightly or making adjustments to technique may cause recurring or new blisters, as it is common to feather the blade. Another common injury is getting ""track bites"", thin cuts on the back of one's calf or thigh caused by contact with the seat tracks at either end of the stroke."
item85,constrained,summarization,,"Summarize the following text:\n\nThe law of triviality is C. Northcote Parkinson's 1957 argument that people within an organization commonly or typically give disproportionate weight to trivial issues. Parkinson provides the example of a fictional committee whose job was to approve the plans for a nuclear power plant spending the majority of its time on discussions about relatively minor but easy-to-grasp issues, such as what materials to use for the staff bicycle shed, while neglecting the proposed design of the plant itself, which is far more important and a far more difficult and complex task. The law has been applied to software development and other activities. The terms bicycle-shed effect, bike-shed effect, and bike-shedding were coined based on Parkinson's example; it was popularised in the Berkeley Software Distribution community by the Danish software developer Poul-Henning Kamp in 1999 and, due to that, has since become popular within the field of software development generally. Argument A bicycle shed The concept was first presented as a corollary of his broader ""Parkinson's law"" spoof of management. He dramatizes this ""law of triviality"" with the example of a committee's deliberations on an atomic reactor, contrasting it to deliberations on a bicycle shed."
item86,constrained,summarization,,"Summarize the following text:\n\nDurga is a warrior goddess, and she is depicted to express her martial skills. Her iconography typically resonates with these attributes, where she rides a lion or a tiger, has between eight and eighteen hands, each holding a weapon to destroy and create. She is often shown in the midst of her war with Mahishasura, the buffalo demon, at the time she victoriously kills the demonic force. Her icon shows her in action, yet her face is calm and serene. In Hindu arts, this tranquil attribute of Durga's face is traditionally derived from the belief that she is protective and violent not because of her hatred, egotism or getting pleasure in violence, but because she acts out of necessity, for the love of the good, for liberation of those who depend on her, and a mark of the beginning of soul's journey to creative freedom. Durga traditionally holds the weapons of various male gods of Hindu mythology, which they give her to fight the evil forces because they feel that she is shakti (energy, power). These include the chakra, conch, bow, arrow, sword, javelin, trishula, shield, and a noose. These weapons are considered symbolic by Shakta Hindus, representing self-discipline, selfless service to others, self-examination, prayer, devotion, remembering her mantras, cheerfulness and meditation."
item87,constrained,summarization,,"Summarize the following text:\n\nThe most common cause of color blindness is an inherited problem or variation in the functionality of one or more of the three classes of cone cells in the retina, which mediate color vision. The most common form is caused by a genetic disorder called congenital red–green color blindness. Males are more likely to be color blind than females, because the genes responsible for the most common forms of color blindness are on the X chromosome. Non-color-blind females can carry genes for color blindness and pass them on to their children. Color blindness can also result from physical or chemical damage to the eye, the optic nerve, or parts of the brain. Screening for color blindness is typically done with the Ishihara color test. There is no cure for color blindness. Diagnosis may allow an individual, or their parents/teachers to actively accommodate the condition. Special lenses such as EnChroma glasses or X-chrom contact lenses may help people with red–green color blindness at some color tasks, but they do not grant the wearer ""normal color vision"". Mobile apps can help people identify colors."
item88,constrained,summarization,,"Summarize the following text:\n\nThe Underground Railroad was a network of clandestine routes and safe houses established in the United States during the early- to the mid-19th century. It was used by enslaved African Americans primarily to escape into free states and Canada. The network was assisted by abolitionists and others sympathetic to the cause of the escapees. The enslaved persons who risked escape and those who aided them are also collectively referred to as the ""Underground Railroad"". Various other routes led to Mexico, where slavery had been abolished, and to islands in the Caribbean that were not part of the slave trade. An earlier escape route running south toward Florida, then a Spanish possession (except 1763–1783), existed from the late 17th century until approximately 1790. However, the network now generally known as the Underground Railroad began in the late 18th century. It ran north and grew steadily until the Emancipation Proclamation was signed by President Abraham Lincoln. One estimate suggests that by 1850, approximately 100,000 enslaved people had escaped to freedom via the network"
item89,constrained,summarization,,"Summarize the following text:\n\nHouseplants do not have an appreciable effect on the concentration of volatile organic compounds (VOCs) in normal home environments: it would require between 10 and 1000 houseplants per square meter to achieve the same level of VOC removal as occurs from passive exchange between indoor and outdoor air. The idea that houseplants have an appreciable effect on indoor air quality is largely based on the Clean Air Study conducted by NASA in the 1980s. The study tested plants in sealed chambers and with highly elevated levels of volatile organic compounds (specifically benzene, trichloroethylene and formaldehyde). It concluded that to the extent that houseplants improve air quality, the mechanism of action is microorganisms within the potting soil, rather than the plants themselves. Houseplants do have a statistically significant effect on the concentrations of both carbon monoxide and carbon dioxide in normal indoor environments, reducing carbon dioxide levels by 10-25% and carbon monoxide levels by up to 90%. The effect has been investigated by NASA for use in spacecraft. Plants also appear to increase the number and diversity of bacteria in homes, while reducing fungal diversity. They tend to increase humidity, reduce temperature swings, and reduce noise. There are also many claimed psychological and physiological benefits to having houseplants. A critical review of the experimental literature concluded ""The reviewed studies suggest that indoor plants can provide psychological benefits such as stress-reduction and increased pain tolerance."""
item90,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nSymphony of the Hills in Kerrville presents ""The Best of Broadway"" concert this Saturday at 7:30 PM, featuring classics like Phantom of the Opera and My Fair Lady, along with newer hits Wicked and The Lion King, drawing attendees from various Texas towns."
item91,constrained,article_synopsis,,"Write an article based on the following synopsis. You are free to invent names, places, and dates not given in the synopsis, so please do not include placeholders.\n\nWarmer and drier springs in the northern Rocky Mountains are endangering the native cutthroat trout as invasive rainbow trout disrupt their adapted traits through hybridization, posing a threat to the cutthroat species."
